#JCAT	Piece	Name	LDate	GDate	ODate	Period	Perigee	PF	Apogee	AF	Inc	IF	OType	Longitude	DriftRate	TDate	TF	Flags
# Updated 2026 Sep 18 0824:38
S00553	1963-004A	Syncom 1	1963 Feb 14	1963 Feb 14	2026 Sep  6 0722	    1236.225 	   28692.4 	 	   34862.6 	 	 26.54 	 	MEO	174.90E	-	1963 Feb 14	P	-
S00634	1963-031A	Syncom 2	1963 Jul 26	1963 Jul 26	2026 Sep  8 2257	    1436.042 	   35754.6 	 	   35816.5 	 	 29.80 	 	GEO/T	 66.39E	 +   0.007E	1969 Apr	P	-
S00858	1964-047A	Syncom 3	1964 Aug 19	1964 Aug 20	2026 Sep 17 0904	    1434.790 	   35741.5 	 	   35780.6 	 	  7.19 	 	GEO/ID	118.01E	 +   0.322E	1974 Dec 29	P	-
S01317	1965-028A	Early Bird	1965 Apr  6	1965 Apr  9	2026 Sep 16 1140	    1436.855 	   35765.1 	 	   35837.8 	 	  7.37 	 	GEO/ID	147.23W	 +   0.198W	1971 Apr	P	-
S02608	1966-110A	ATS 1	1966 Dec  7	1966 Dec  6	2026 Sep 17 1850	    1435.864 	   35752.3 	 	   35811.8 	 	  5.20 	 	GEO/I	157.93E	 +   0.051E	1985 Apr	P	-
S02639	1967-001A	INTELSAT II F-2	1967 Jan 11	1967 Jan 14	2026 Sep 17 0947	    1437.811 	   35790.9 	 	   35849.4 	 	  3.48 	 	GEO/ID	 91.12W	 +   0.437W	1977 May	P	-
S02717	1967-026A	INTELSAT II F-3	1967 Mar 23	1967 Mar 25	2026 Sep 17 1840	    1434.383 	   35678.3 	 	   35827.8 	 	  4.30 	 	GEO/ID	 63.55E	 +   0.424E	1977 May	P	-
S02969	1967-094A	INTELSAT II F-4	1967 Sep 28	1967 Sep 30	2026 Sep 17 1832	    1435.248 	   35716.3 	 	   35823.6 	 	  4.31 	 	GEO/ID	 50.16W	 +   0.206E	1977 May	P	-
S03029	1967-111A	ATS 3	1967 Nov  5	1967 Nov  6	2026 Sep 17 1451	    1436.095 	   35722.3 	 	   35850.8 	 	  3.41 	 	GEO/I	105.19W	 +   0.007W	2003?	P	-
S03334	1968-063A	OPS 2222	1968 Aug  6	1968 Aug  6	2026 Sep 17 1452	    1450.861 	   32269.5 	 	   39880.7 	 	  5.69 	 	GEO/NS	101.41W	 +   3.681W	1968 Sep?	P	-
